synthetic_student_id,registry_year,enrollment_date,course,age,age_range,student_nationality_group,guardian_nationality_group,guardian_occupation_group,origin_group,repeat_flag,approx_distance_km,synthetic_spatial_zone
SYN-1912-0063,1912,1912-02-15,3º Año,18,18_24,argentino,espanol,comercio,sin_dato,False,4.55,zone_033
SYN-1912-0064,1912,1912-02-15,2º Año,18,18_24,argentino,italiano,otras_ocupaciones,sin_dato,False,2.93,zone_040
SYN-1912-0065,1912,1912-02-15,2º Año,17,16_17,argentino,italiano,tecnica_construccion,sin_dato,False,2.93,zone_038
SYN-1912-0066,1912,1912-02-15,3º Año,19,18_24,argentino,argentino,comercio,sin_dato,False,3.28,zone_002
SYN-1912-0067,1912,1912-02-15,2º Año,17,16_17,argentino,italiano,comercio,sin_dato,False,1.32,zone_026
SYN-1912-0068,1912,1912-02-15,3º Año,18,18_24,argentino,italiano,otras_ocupaciones,sin_dato,False,4.7,zone_068
SYN-1912-0069,1912,1912-02-15,1º Año,17,16_17,argentino,italiano,tecnica_construccion,sin_dato,False,1.73,zone_021
SYN-1912-0070,1912,1912-02-15,1º Año,17,16_17,argentino,argentino,comercio,sin_dato,False,0.73,zone_020
SYN-1912-0071,1912,1912-02-15,1º Año,16,16_17,argentino,italiano,comercio,sin_dato,False,3.03,zone_001
SYN-1912-0072,1912,1912-02-15,1º Año,16,16_17,argentino,italiano,otras_ocupaciones,sin_dato,False,3.48,zone_028
SYN-1912-0073,1912,1912-02-17,1º Año,16,16_17,uruguayo,espanol,empleado,sin_dato,False,2.92,zone_034
SYN-1912-0074,1912,1912-02-22,6º Año,22,18_24,argentino,espanol,empleado,sin_dato,False,2.01,zone_047
SYN-1912-0075,1912,1912-02-22,1º Año,16,16_17,argentino,argentino,comercio,sin_dato,False,2.25,zone_058
SYN-1912-0076,1912,1912-02-23,2º Año,18,18_24,argentino,argentino,sin_dato,sin_dato,False,6.85,zone_006
SYN-1912-0077,1912,1912-02-24,5º Año,19,18_24,argentino,argentino,empleado,sin_dato,False,4.96,zone_016
SYN-1912-0078,1912,1912-02-24,5º Año,22,18_24,argentino,argentino,empleado,sin_dato,False,1.55,zone_046
SYN-1912-0079,1912,1912-02-24,5º Año,20,18_24,argentino,argentino,comercio,sin_dato,False,5.72,zone_036
SYN-1912-0080,1912,1912-02-24,1º Año,16,16_17,espanol,espanol,rentista_propietario,sin_dato,False,2.22,zone_002
SYN-1912-0081,1912,1912-02-24,3º Año,18,18_24,argentino,italiano,tecnica_construccion,sin_dato,False,2.59,zone_057
SYN-1912-0082,1912,1912-02-29,5º Año,20,18_24,argentino,uruguayo,comercio,sin_dato,False,1.3,zone_063
SYN-1912-0083,1912,1912-02-29,1º Año,16,16_17,argentino,italiano,rentista_propietario,sin_dato,False,0.74,zone_001
SYN-1912-0084,1912,1912-03-01,1º Año,16,16_17,argentino,argentino,educacion,sin_dato,False,2.63,zone_035
SYN-1912-0085,1912,1912-03-01,5º Año,20,18_24,argentino,italiano,otras_ocupaciones,sin_dato,False,2.35,zone_049
SYN-1912-0086,1912,1912-03-02,3º Año,19,18_24,argentino,italiano,comercio,sin_dato,False,3.4,zone_002
SYN-1912-0087,1912,1912-03-05,5º Año,28,25_o_mas,argentino,italiano,comercio,sin_dato,False,1.98,zone_006
SYN-1912-0088,1912,1912-03-21,5º Año,23,18_24,argentino,argentino,sin_dato,sin_dato,False,0.54,zone_006
SYN-1912-0089,1912,1912-04-08,3º Año,24,18_24,argentino,italiano,comercio,sin_dato,False,6.91,zone_001
SYN-1912-0090,1912,1912-05-04,5º Año,22,18_24,argentino,argentino,otras_ocupaciones,sin_dato,False,0.75,zone_058
SYN-1913-0091,1913,1913-02-17,1º Año,17,16_17,argentino,ruso,comercio,sin_dato,True,8.04,zone_070
SYN-1913-0092,1913,1913-02-17,1º Año,16,16_17,argentino,argentino,comercio,sin_dato,False,3.98,zone_007
SYN-1913-0093,1913,1913-02-17,1º Año,18,18_24,argentino,argentino,empleado,sin_dato,True,1.63,zone_033
SYN-1913-0094,1913,1913-02-17,1º Año,16,16_17,argentino,italiano,empleado,sin_dato,False,0.4,zone_008
SYN-1913-0095,1913,1913-02-17,1º Año,16,16_17,argentino,frances,oficio_trabajo,sin_dato,False,2.18,zone_002
SYN-1913-0096,1913,1913-02-17,1º Año,16,16_17,argentino,argentino,militar,sin_dato,False,3.29,zone_057
SYN-1913-0097,1913,1913-02-18,3º Año,17,16_17,argentino,italiano,sin_dato,sin_dato,False,4.3,zone_018
SYN-1913-0098,1913,1913-02-18,2º Año,19,18_24,argentino,italiano,sin_dato,sin_dato,False,1.01,zone_002
SYN-1913-0099,1913,1913-02-18,1º Año,16,16_17,argentino,argentino,sin_dato,sin_dato,False,1.3,zone_050
SYN-1913-0100,1913,1913-02-19,3º Año,20,18_24,boliviano,otra,otras_ocupaciones,sin_dato,False,0.7,zone_050
SYN-1913-0101,1913,1913-02-19,5º Año,19,18_24,argentino,italiano,empleado,sin_dato,False,0.64,zone_026
SYN-1913-0102,1913,1913-02-20,5º Año,21,18_24,argentino,sin_dato,otras_ocupaciones,sin_dato,False,3.51,zone_009
SYN-1913-0103,1913,1913-02-21,5º Año,22,18_24,argentino,sin_dato,otras_ocupaciones,sin_dato,False,11.0,zone_001
SYN-1913-0104,1913,1913-02-24,1º Año,16,16_17,argentino,argentino,empleado,sin_dato,False,6.16,zone_042
SYN-1913-0105,1913,1913-02-24,1º Año,16,16_17,argentino,italiano,empleado,sin_dato,False,1.92,zone_076
SYN-1913-0106,1913,1913-02-24,2º Año,19,18_24,argentino,argentino,comercio,sin_dato,False,1.24,zone_024
SYN-1913-0107,1913,1913-02-24,2º Año,17,16_17,argentino,italiano,comercio,sin_dato,False,0.72,zone_001
SYN-1913-0108,1913,1913-02-25,2º Año,17,16_17,uruguayo,sin_dato,otras_ocupaciones,sin_dato,False,4.63,zone_009
SYN-1913-0109,1913,1913-02-25,5º Año,23,18_24,argentino,sin_dato,otras_ocupaciones,sin_dato,False,2.16,zone_011
SYN-1913-0110,1913,1913-02-25,4º Año,20,18_24,argentino,sin_dato,otras_ocupaciones,sin_dato,False,3.94,zone_001
SYN-1913-0111,1913,1913-02-26,2º Año,17,16_17,argentino,sin_dato,otras_ocupaciones,sin_dato,False,5.05,zone_063
SYN-1913-0112,1913,1913-02-26,5º Año,24,18_24,argentino,sin_dato,otras_ocupaciones,sin_dato,False,0.42,zone_010
SYN-1913-0113,1913,1913-02-26,3º Año,19,18_24,argentino,otra,otras_ocupaciones,sin_dato,False,1.18,zone_068
SYN-1913-0114,1913,1913-02-27,1º Año,16,16_17,argentino,sin_dato,otras_ocupaciones,sin_dato,False,1.12,zone_036
SYN-1913-0115,1913,1913-02-27,4º Año,20,18_24,argentino,sin_dato,otras_ocupaciones,sin_dato,False,1.23,zone_031
SYN-1913-0116,1913,1913-02-28,1º Año,19,18_24,ruso,sin_dato,otras_ocupaciones,sin_dato,False,2.43,zone_017
SYN-1913-0117,1913,1913-03-03,2º Año,20,18_24,argentino,sin_dato,otras_ocupaciones,sin_dato,False,1.13,zone_017
SYN-1913-0118,1913,1913-03-03,1º Año,17,16_17,argentino,sin_dato,otras_ocupaciones,sin_dato,False,5.78,zone_023
SYN-1913-0119,1913,1913-03-04,1º Año,16,16_17,argentino,sin_dato,otras_ocupaciones,sin_dato,False,7.44,zone_004
SYN-1913-0120,1913,1913-06-11,2º Año,17,16_17,argentino,sin_dato,otras_ocupaciones,sin_dato,False,2.13,zone_073
SYN-1914-0121,1914,1914-02-16,2º Año,17,16_17,argentino,argentino,comercio,sin_dato,False,4.97,zone_001
SYN-1914-0122,1914,1914-02-16,1º Año,16,16_17,argentino,italiano,empleado,sin_dato,True,3.97,zone_002
SYN-1914-0123,1914,1914-02-16,4º Año,19,18_24,argentino,sin_dato,otras_ocupaciones,sin_dato,False,8.79,zone_068
SYN-1914-0124,1914,1914-02-16,1º Año,16,16_17,argentino,sin_dato,otras_ocupaciones,sin_dato,False,2.57,zone_041
SYN-1914-0125,1914,1914-02-17,1º Año,16,16_17,argentino,espanol,empleado,sin_dato,False,2.53,zone_034
SYN-1914-0126,1914,1914-02-17,1º Año,17,16_17,argentino,italiano,empleado,sin_dato,False,2.89,zone_051
SYN-1914-0127,1914,1914-02-17,1º Año,16,16_17,argentino,argentino,empleado,sin_dato,False,1.58,zone_018
SYN-1914-0128,1914,1914-02-18,1º Año,18,18_24,argentino,espanol,empleado,sin_dato,False,1.7,zone_043
SYN-1914-0129,1914,1914-02-19,4º Año,20,18_24,argentino,italiano,comercio,sin_dato,False,7.25,zone_002
SYN-1914-0130,1914,1914-02-20,3º Año,19,18_24,argentino,sin_dato,empleado,sin_dato,False,2.71,zone_032
SYN-1914-0131,1914,1914-02-21,1º Año,16,16_17,espanol,espanol,comercio,sin_dato,False,1.87,zone_001
SYN-1914-0132,1914,1914-02-21,1º Año,16,16_17,argentino,italiano,sin_dato,sin_dato,False,4.89,zone_070
SYN-1914-0133,1914,1914-02-21,1º Año,17,16_17,argentino,sin_dato,sin_dato,sin_dato,False,3.03,zone_021
SYN-1914-0134,1914,1914-02-25,1º Año,16,16_17,argentino,italiano,otras_ocupaciones,sin_dato,False,1.58,zone_005
SYN-1914-0135,1914,1914-02-28,3º Año,20,18_24,argentino,sin_dato,otras_ocupaciones,sin_dato,False,3.3,zone_002
SYN-1914-0136,1914,1914-03-03,4º Año,17,16_17,argentino,sin_dato,otras_ocupaciones,sin_dato,False,1.09,zone_023
SYN-1914-0137,1914,1914-03-11,2º Año,17,16_17,argentino,sin_dato,sin_dato,sin_dato,False,3.74,zone_055
SYN-1914-0138,1914,1914-03-21,1º Año,24,18_24,argentino,sin_dato,otras_ocupaciones,sin_dato,False,1.53,zone_001
SYN-1914-0139,1914,1914-03-23,1º Año,17,16_17,argentino,otra,otras_ocupaciones,sin_dato,False,6.9,zone_008
SYN-1914-0140,1914,1914-03-23,1º Año,16,16_17,argentino,sin_dato,otras_ocupaciones,sin_dato,False,1.27,zone_024
SYN-1914-0141,1914,1914-03-23,1º Año,17,16_17,argentino,sin_dato,otras_ocupaciones,sin_dato,False,2.69,zone_020
SYN-1914-0142,1914,1914-03-23,1º Año,16,16_17,argentino,otra,otras_ocupaciones,sin_dato,False,8.56,zone_007
SYN-1914-0143,1914,1914-03-23,1º Año,16,16_17,argentino,sin_dato,sin_dato,sin_dato,False,5.01,zone_076
SYN-1914-0144,1914,1914-03-24,5º Año,22,18_24,argentino,sin_dato,sin_dato,sin_dato,False,3.17,zone_031
SYN-1914-0145,1914,1914-03-25,5º Año,22,18_24,argentino,sin_dato,sin_dato,sin_dato,False,1.11,zone_002
SYN-1914-0146,1914,1914-03-25,5º Año,20,18_24,argentino,sin_dato,sin_dato,sin_dato,False,0.77,zone_047
SYN-1914-0147,1914,1914-03-25,5º Año,27,25_o_mas,argentino,sin_dato,sin_dato,sin_dato,False,7.54,zone_047
SYN-1914-0148,1914,1914-04-13,1º Año,16,16_17,argentino,sin_dato,otras_ocupaciones,sin_dato,False,2.55,zone_006
SYN-1914-0149,1914,1914-04-29,2º Año,18,18_24,argentino,sin_dato,otras_ocupaciones,sin_dato,False,6.04,zone_014
SYN-1914-0150,1914,1914-06-05,3º Año,15,14_15,argentino,sin_dato,otras_ocupaciones,sin_dato,False,1.19,zone_027
SYN-1915-0151,1915,1915-02-18,4º Año,19,18_24,argentino,espanol,otras_ocupaciones,sin_dato,False,7.35,zone_004
SYN-1915-0152,1915,1915-02-18,4º Año,18,18_24,argentino,argentino,empleado,sin_dato,False,1.57,zone_066
SYN-1915-0153,1915,1915-02-18,1º Año,17,16_17,argentino,argentino,educacion,otra_procedencia,False,0.85,zone_072
SYN-1915-0154,1915,1915-02-18,4º Año,22,18_24,italiano,italiano,sin_dato,otra_procedencia,False,6.22,zone_008
SYN-1915-0155,1915,1915-02-19,2º Año,16,16_17,argentino,italiano,sin_dato,otra_procedencia,False,4.64,zone_008
SYN-1915-0156,1915,1915-02-19,1º Año,18,18_24,argentino,argentino,comercio,otra_procedencia,True,7.59,zone_020
SYN-1915-0157,1915,1915-02-19,2º Año,17,16_17,argentino,sin_dato,sin_dato,otra_procedencia,False,9.41,zone_026
SYN-1915-0158,1915,1915-02-19,2º Año,17,16_17,argentino,italiano,empleado,otra_procedencia,False,6.52,zone_005
SYN-1915-0159,1915,1915-02-20,2º Año,18,18_24,argentino,italiano,sin_dato,otra_procedencia,False,2.25,zone_061
SYN-1915-0160,1915,1915-02-22,2º Año,17,16_17,argentino,italiano,sin_dato,otra_procedencia,False,3.37,zone_012
SYN-1915-0161,1915,1915-02-22,1º Año,16,16_17,argentino,espanol,rentista_propietario,otra_procedencia,False,4.34,zone_047
SYN-1915-0162,1915,1915-02-22,2º Año,18,18_24,argentino,argentino,educacion,otra_procedencia,False,7.57,zone_044
SYN-1915-0163,1915,1915-02-22,1º Año,16,16_17,argentino,argentino,educacion,otra_procedencia,False,1.69,zone_007
SYN-1915-0164,1915,1915-02-22,3º Año,19,18_24,argentino,sin_dato,sin_dato,otra_procedencia,False,6.53,zone_020
SYN-1915-0165,1915,1915-02-23,2º Año,17,16_17,argentino,espanol,empleado,otra_procedencia,False,1.35,zone_030
SYN-1915-0166,1915,1915-02-25,1º Año,16,16_17,argentino,italiano,comercio,otra_procedencia,False,1.85,zone_024
SYN-1915-0167,1915,1915-02-25,6º Año,21,18_24,argentino,sin_dato,sin_dato,otra_procedencia,False,6.07,zone_015
SYN-1915-0168,1915,1915-02-27,1º Año,16,16_17,argentino,argentino,empleado,otra_procedencia,False,1.82,zone_002
SYN-1915-0169,1915,1915-02-27,1º Año,16,16_17,argentino,uruguayo,empleado,otra_procedencia,False,1.02,zone_006
SYN-1915-0170,1915,1915-03-01,2º Año,17,16_17,argentino,italiano,otras_ocupaciones,otra_procedencia,False,1.89,zone_041
SYN-1915-0171,1915,1915-03-02,1º Año,22,18_24,argentino,sin_dato,sin_dato,otra_procedencia,False,1.09,zone_003
SYN-1915-0172,1915,1915-03-05,5º Año,27,25_o_mas,argentino,sin_dato,sin_dato,otra_procedencia,False,1.41,zone_029
SYN-1915-0173,1915,1915-03-06,1º Año,16,16_17,argentino,italiano,sin_dato,otra_procedencia,False,0.92,zone_077
SYN-1915-0174,1915,1915-03-11,1º Año,17,16_17,argentino,italiano,rentista_propietario,sin_dato,False,0.66,zone_001
SYN-1915-0175,1915,1915-03-12,5º Año,25,25_o_mas,argentino,sin_dato,sin_dato,otra_procedencia,False,0.78,zone_018
SYN-1915-0176,1915,1915-03-13,3º Año,18,18_24,argentino,espanol,comercio,otra_procedencia,False,0.73,zone_039
SYN-1915-0177,1915,1915-03-29,5º Año,23,18_24,argentino,sin_dato,sin_dato,otra_procedencia,False,2.64,zone_055
SYN-1915-0178,1915,1915-04-05,1º Año,16,16_17,argentino,italiano,empleado,otra_procedencia,False,6.33,zone_039
SYN-1915-0179,1915,1915-04-16,2º Año,20,18_24,argentino,sin_dato,sin_dato,otra_procedencia,False,1.63,zone_050
SYN-1915-0180,1915,1915-07-01,5º Año,21,18_24,argentino,espanol,comercio,otra_procedencia,False,1.58,zone_053
